time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
2,26,2,6,6.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"15,16,17,25,27,35,36,37"
2,27,2,7,7.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"16,17,18,26,28,36,37,38"
2,28,2,8,8.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"17,18,19,27,29,37,38,39"
2,29,2,9,9.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"18,19,28,38,39"
2,30,3,0,0.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"20,21,31,40,41"
2,31,3,1,1.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"20,21,22,30,32,40,41,42"
2,32,3,2,2.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"21,22,23,31,33,41,42,43"
2,33,3,3,3.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"22,23,24,32,34,42,43,44"
2,34,3,4,4.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"23,24,25,33,35,43,44,45"
2,35,3,5,5.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"24,25,26,34,36,44,45,46"
2,36,3,6,6.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"25,26,27,35,37,45,46,47"
2,37,3,7,7.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"26,27,28,36,38,46,47,48"
2,38,3,8,8.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"27,28,29,37,39,47,48,49"
2,39,3,9,9.0,3.0,0,healthy,0,7.37,55.17,60.77,0.844,"28,29,38,48,49"
2,40,4,0,0.0,4.0,0,healthy,0,7.37,55.17,60.77,0.844,"30,31,41,50,51"
2,41,4,1,1.0,4.0,0,healthy,0,7.37,55.17,60.77,0.844,"30,31,32,40,42,50,51,52"
2,42,4,2,2.0,4.0,0,healthy,0,7.37,55.17,60.77,0.844,"31,32,33,41,43,51,52,53"
2,43,4,3,3.0,4.0,0,healthy,0,7.37,55.17,60.77,0.844,"32,33,34,42,44,52,53,54"
2,44,4,4,4.0,4.0,0,healthy,0,7.37,55.17,60.77,0.844,"33,34,35,43,45,53,54,55"
